# eta f fd fdd g gd y p T rho u
1.893788 0.842654 0.836543 0.259646 1.829466 -0.822259 0.001173 3531.500000 622.384317 0.019764 1805.426661
1.903808 0.851049 0.839129 0.256612 1.821231 -0.821486 0.001179 3531.500000 619.582647 0.019853 1811.008736
1.913828 0.859470 0.841685 0.253591 1.813004 -0.820519 0.001185 3531.500000 616.783944 0.019943 1816.525347
1.923848 0.867917 0.844211 0.250584 1.804788 -0.819362 0.001191 3531.500000 613.988863 0.020034 1821.976784
1.933868 0.876388 0.846707 0.247591 1.796584 -0.818019 0.001197 3531.500000 611.198045 0.020125 1827.363346
1.943888 0.884885 0.849173 0.244613 1.788395 -0.816494 0.001203 3531.500000 608.412116 0.020218 1832.685343
1.953908 0.893405 0.851609 0.241650 1.780222 -0.814793 0.001208 3531.500000 605.631685 0.020310 1837.943095
1.963928 0.901951 0.854016 0.238702 1.772067 -0.812920 0.001214 3531.500000 602.857347 0.020404 1843.136930
1.973948 0.910520 0.856393 0.235770 1.763932 -0.810880 0.001220 3531.500000 600.089680 0.020498 1848.267184
1.983968 0.919113 0.858741 0.232854 1.755818 -0.808676 0.001225 3531.500000 597.329249 0.020593 1853.334203
1.993988 0.927729 0.861059 0.229954 1.747727 -0.806314 0.001231 3531.500000 594.576602 0.020688 1858.338340
2.004008 0.936368 0.863349 0.227072 1.739660 -0.803797 0.001237 3531.500000 591.832273 0.020784 1863.279957
2.014028 0.945031 0.865610 0.224206 1.731619 -0.801130 0.001242 3531.500000 589.096780 0.020880 1868.159424
2.024048 0.953715 0.867842 0.221359 1.723606 -0.798317 0.001248 3531.500000 586.370627 0.020978 1872.977117
2.034068 0.962422 0.870046 0.218529 1.715621 -0.795364 0.001254 3531.500000 583.654303 0.021075 1877.733420
2.044088 0.971151 0.872222 0.215717 1.707667 -0.792273 0.001259 3531.500000 580.948283 0.021173 1882.428724
2.054108 0.979901 0.874369 0.212924 1.699744 -0.789049 0.001265 3531.500000 578.253026 0.021272 1887.063426
2.064128 0.988673 0.876489 0.210150 1.691855 -0.785697 0.001270 3531.500000 575.568979 0.021371 1891.637930
2.074148 0.997466 0.878581 0.207395 1.683999 -0.782220 0.001275 3531.500000 572.896573 0.021471 1896.152645
2.084168 1.006280 0.880645 0.204659 1.676179 -0.778623 0.001281 3531.500000 570.236225 0.021571 1900.607987
2.094188 1.015114 0.882682 0.201942 1.668396 -0.774909 0.001286 3531.500000 567.588340 0.021672 1905.004376
2.104208 1.023969 0.884692 0.199246 1.660651 -0.771083 0.001292 3531.500000 564.953307 0.021773 1909.342240
2.114228 1.032844 0.886675 0.196570 1.652944 -0.767148 0.001297 3531.500000 562.331502 0.021874 1913.622010
2.124248 1.041738 0.888631 0.193914 1.645277 -0.763109 0.001302 3531.500000 559.723290 0.021976 1917.844122
2.134269 1.050652 0.890561 0.191278 1.637651 -0.758969 0.001308 3531.500000 557.129019 0.022079 1922.009016
2.144289 1.059585 0.892465 0.188663 1.630068 -0.754732 0.001313 3531.500000 554.549027 0.022181 1926.117138
2.154309 1.068537 0.894342 0.186069 1.622527 -0.750402 0.001318 3531.500000 551.983639 0.022284 1930.168937
2.164329 1.077507 0.896194 0.183496 1.615030 -0.745982 0.001323 3531.500000 549.433164 0.022388 1934.164865
2.174349 1.086496 0.898019 0.180944 1.607578 -0.741476 0.001329 3531.500000 546.897904 0.022492 1938.105380
2.184369 1.095504 0.899820 0.178414 1.600171 -0.736888 0.001334 3531.500000 544.378144 0.022596 1941.990942
2.194389 1.104529 0.901595 0.175905 1.592811 -0.732221 0.001339 3531.500000 541.874160 0.022700 1945.822013
2.204409 1.113572 0.903345 0.173417 1.585497 -0.727479 0.001344 3531.500000 539.386214 0.022805 1949.599060
2.214429 1.122632 0.905070 0.170952 1.578232 -0.722664 0.001349 3531.500000 536.914557 0.022910 1953.322552
2.224449 1.131709 0.906771 0.168508 1.571015 -0.717781 0.001354 3531.500000 534.459431 0.023015 1956.992960
2.234469 1.140803 0.908447 0.166086 1.563848 -0.712832 0.001359 3531.500000 532.021063 0.023120 1960.610757
2.244489 1.149914 0.910099 0.163686 1.556730 -0.707822 0.001364 3531.500000 529.599671 0.023226 1964.176421
2.254509 1.159042 0.911728 0.161309 1.549663 -0.702752 0.001370 3531.500000 527.195461 0.023332 1967.690427
2.264529 1.168185 0.913332 0.158953 1.542647 -0.697626 0.001375 3531.500000 524.808630 0.023438 1971.153257
2.274549 1.177345 0.914913 0.156620 1.535683 -0.692447 0.001379 3531.500000 522.439364 0.023545 1974.565392
2.284569 1.186520 0.916471 0.154309 1.528771 -0.687218 0.001384 3531.500000 520.087838 0.023651 1977.927313
2.294589 1.195711 0.918006 0.152021 1.521911 -0.681942 0.001389 3531.500000 517.754217 0.023758 1981.239504
2.304609 1.204917 0.919517 0.149755 1.515105 -0.676622 0.001394 3531.500000 515.438658 0.023864 1984.502450
2.314629 1.214138 0.921007 0.147511 1.508352 -0.671260 0.001399 3531.500000 513.141305 0.023971 1987.716637
2.324649 1.223374 0.922474 0.145290 1.501653 -0.665860 0.001404 3531.500000 510.862296 0.024078 1990.882551
2.334669 1.232625 0.923918 0.143092 1.495008 -0.660423 0.001409 3531.500000 508.601757 0.024185 1994.000678
2.344689 1.241889 0.925341 0.140916 1.488418 -0.654954 0.001414 3531.500000 506.359808 0.024292 1997.071505
2.354709 1.251168 0.926742 0.138762 1.481883 -0.649453 0.001419 3531.500000 504.136558 0.024399 2000.095520
2.364729 1.260461 0.928122 0.136631 1.475403 -0.643924 0.001423 3531.500000 501.932107 0.024506 2003.073210
2.374749 1.269768 0.929481 0.134523 1.468979 -0.638369 0.001428 3531.500000 499.746549 0.024614 2006.005062
2.384770 1.279088 0.930818 0.132437 1.462610 -0.632791 0.001433 3531.500000 497.579967 0.024721 2008.891563
